pTiming,rTiming,s1Timing,tTiming,s2Timing
88.9035,89.020125,89.1,89.23,89.36
89.52,89.64225,89.72,89.855,90
90.1265,90.24675,90.32,90.4585,90.6
90.766,90.880625,90.96,91.093,91.24
91.3945,91.517,91.6,91.7305,91.88
92.0835,92.198125,92.28,92.411,92.56
92.784,92.899125,92.98,93.1135,93.26
93.46,93.579375,93.66,93.794,93.92
94.121,94.2365,94.32,94.452,94.6
94.765,94.8785,94.96,95.093,95.24
95.387,95.503375,95.6,95.7165,95.86
95.999,96.11325,96.2,96.327,96.46
96.6095,96.728125,96.8,96.941,97.08
97.2195,97.335625,97.42,97.549,97.7
97.8385,97.954125,98.04,98.1655,98.3
98.443,98.561875,98.66,98.7735,98.92
99.0605,99.1815,99.26,99.3955,99.54
