,S,Stiming
0,-0.2680955442122691,0.735625
1,-0.2689799125277953,1.36075
2,-0.26283122514202645,1.951625
3,-0.2569614279446374,2.542875
4,-0.2689753323699392,3.13625
5,-0.2648931202255852,3.765625
6,-0.26486128269110115,4.424375
7,-0.2697751102806659,5.11475
8,-0.25180302204297184,5.806125
9,-0.25881367990187043,6.4535
10,-0.24635218894081629,7.09
11,-0.23938010726963369,7.699125
12,-0.24617499177350663,8.322875
13,-0.24950752203840226,8.994875
14,-0.2683999286864003,9.692125
15,-0.24834919611949074,10.386625
16,-0.27405808052549807,11.0105
17,-0.2730248863547049,11.62425
18,-0.24808054479798525,12.21975
19,-0.26123028246998803,12.793
20,-0.24286637344384032,13.3675
21,-0.2538482589698979,13.936625
22,-0.23508914382302476,14.561625
23,-0.23729848375029516,15.341
24,-0.22763101836839178,16.080875
25,-0.23259307786042543,16.8025
26,-0.251421156632749,17.5105
27,-0.251187077616901,18.202
28,-0.24311582549168936,18.87375
29,-0.2589319177207855,19.49875
30,-0.252438725141842,20.116625
31,-0.25873717276501984,20.709625
32,-0.25756820618791265,21.2995
33,-0.2497115630176519,21.87875
34,-0.2609331772952253,22.469125
35,-0.25367722005809146,23.054375
36,-0.2512841073746169,23.641375
37,-0.2580645587019739,24.2415
38,-0.24217087340255422,24.853375
39,-0.2560197832984339,25.497375
40,-0.2587420187660737,26.111
41,-0.24465554953630225,26.722
42,-0.2590871890938893,27.3285
43,-0.2541776823759907,27.931625
44,-0.26569897315969493,28.51275
45,-0.23704714919843142,29.088625
46,-0.2741322056005449,29.64725
47,-0.24316208976783987,30.19975
48,-0.2510657522337783,30.740875
49,-0.2495914834482751,31.297125
50,-0.26274418530114013,31.850625
51,-0.2526095417943883,32.441125
52,-0.23988771211998838,33.033375
53,-0.259019911120913,33.65625
54,-0.24646343562648143,34.281875
55,-0.24684680392452213,34.95025
56,-0.2594922915339941,35.580625
57,-0.25050077498083867,36.22825
58,-0.2679306768589912,36.8455
59,-0.2681999084418966,37.45075
60,-0.2535259931253715,38.035875
61,-0.2634955690212487,38.61825
62,-0.25879554140093003,39.192125
63,-0.25082160838711104,39.764375
64,-0.2634633713147505,40.326625
65,-0.257675071760919,40.890875
66,-0.2490855415096387,41.4645
67,-0.2655521715119021,42.056125
68,-0.24453815876667384,42.682625
69,-0.25401556755981114,43.314
70,-0.2569260145442967,43.945
71,-0.2551572072958251,44.555625
72,-0.2561544327839679,45.15275
73,-0.25120034082904213,45.725625
74,-0.24863437753590223,46.296
75,-0.2613838642825306,46.859375
76,-0.2354953013912418,47.421125
77,-0.2576360513560989,47.977125
78,-0.2584700963480626,48.530375
79,-0.24714284302969514,49.097625
80,-0.2572971547767591,49.672375
81,-0.24196059217280363,50.2685
82,-0.2550312406518857,50.85175
83,-0.25198962718295614,51.442125
84,-0.249356939068811,52.0245
85,-0.26552102129557364,52.609625
86,-0.2445510704638662,53.175625
87,-0.2604496029779099,53.740375
88,-0.2585383083132345,54.29775
89,-0.250011228501292,54.8545
90,-0.26197312078021984,55.404
91,-0.2498502770931474,55.949375
92,-0.2577128223285105,56.498625
93,-0.24654136610885702,57.047875
94,-0.2535544027680567,57.61025
95,-0.25283143153716997,58.1725
96,-0.23512410288125984,58.76225
97,-0.2534323906251649,59.369125
98,-0.24488904484085255,59.98125
99,-0.2641202233343991,60.589
100,-0.24838816777422718,61.198375
101,-0.26036208010427303,61.797125
102,-0.2523679295080635,62.391
103,-0.25379409726059354,62.99
104,-0.2419203094926339,63.58875
105,-0.25495498158497076,64.178375
106,-0.23393963586900926,64.7785
107,-0.2573488339681392,65.38575
108,-0.24047300336307592,66.007125
109,-0.2499487167852592,66.62825
110,-0.23821408435359084,67.250125
111,-0.26006410039855543,67.866625
112,-0.24782165976395076,68.4915
113,-0.2549536761125327,69.091
114,-0.24251468418985556,69.6855
115,-0.2484564183127395,70.29175
116,-0.22940239916537558,70.91525
117,-0.24823118680957568,71.5295
118,-0.241256135944982,72.1505
119,-0.24828745795820711,72.7755
120,-0.2414678833054225,73.41925
121,-0.2482031172579613,74.04525
122,-0.24519699254686983,74.65575
123,-0.2571633999897639,75.261375
124,-0.24955575328311558,75.858125
125,-0.25313491851878767,76.44625
126,-0.24755426676824596,77.0265
127,-0.24249553395160733,77.619375
128,-0.19425254841866182,78.196
129,-0.21703509411035432,78.790375
130,-0.20535207296113073,79.46575
131,-0.23968213325142085,80.16725
132,-0.2492765203312968,80.8655
133,-0.23340710958043948,81.566
134,-0.24678476333876476,82.225
135,-0.23036629968900585,82.879625
136,-0.246285348622768,83.526375
137,-0.23888837417011582,84.16175
138,-0.26044772169586455,84.801
