,T,Ttiming
0,0.11759489927382086,0.921
1,0.12167972477525343,1.5495
2,0.11839376540303495,2.1355
3,0.11550260014026421,2.727
4,0.11803911388657462,3.3185
5,0.11715253090890398,3.951
6,0.11965082699080026,4.613
7,0.11899538619973168,5.302
8,0.12775931328764112,5.992
9,0.12610957982626095,6.6395
10,0.11968954145663933,7.2755
11,0.11656661807925758,7.884
12,0.11533666469691653,8.5085
13,0.0145249843596586,9.0515
14,0.11065773995291908,9.8815
15,0.12317276455964168,10.5735
16,0.135969454262546,11.198
17,0.1297028295495303,11.813
18,0.12839883531498864,12.4045
19,0.13325322452953495,12.9775
20,0.12465912957593706,13.5515
21,0.13043249972869958,14.1205
22,0.13156291385322771,14.7485
23,0.1287181765982286,15.5285
24,0.12806162300801754,16.268
25,0.1433835192829186,16.994
26,0.14069069003631313,17.6995
27,0.14358485576582503,18.393
28,0.1326664425023638,19.0645
29,0.13723573129645678,19.6865
30,0.1315219021389185,20.303
31,0.13588101817795648,20.897
32,0.12589438221148497,21.4875
33,0.1287757349520887,22.066
34,0.129631367304691,22.657
35,0.12305094683098027,23.238
36,0.12421129791729038,23.828
37,0.12419774349719018,24.43
38,0.12430390532682817,25.0405
39,0.12612722328159737,25.685
40,0.11842871263310976,26.2975
41,0.12336927946382123,26.91
42,0.120655751293417,27.515
43,0.12606076157985224,28.1175
44,0.1235408477594363,28.698
45,0.11416182596682356,29.2725
46,0.12249319282074139,29.832
47,0.11560926404719941,30.383
48,0.12436306226024783,30.9245
49,0.11416969401571117,31.4835
50,0.12772566997606344,32.034
51,0.11704878465542103,32.6275
52,0.12904109246523904,33.2195
53,0.12034178448626118,33.8445
54,0.12195602773054737,34.4695
55,0.12124120256506346,35.138
56,0.11909983707667618,35.7695
57,0.11621371599271181,36.417
58,0.12250000644469486,37.035
59,0.11249360866685643,37.637
60,0.1176818220678237,38.2225
61,0.10586424424694048,38.8045
62,0.10654594762598094,39.3765
63,0.10773573045853134,39.9485
64,0.11325387036512502,40.5125
65,0.10426368456245833,41.076
66,0.11062949808057425,41.6495
67,0.11266453115791525,42.243
68,0.10940880271038071,42.8695
69,0.11398048988278972,43.4995
70,0.11209282720762466,44.1295
71,0.11923540397949331,44.7425
72,0.11229521557883551,45.34
73,0.12019900254448523,45.9115
74,0.11024751840963258,46.4825
75,0.1188397670969929,47.0465
76,0.11419773616444868,47.6045
77,0.11706565511930384,48.162
78,0.11401085880365323,48.7165
79,0.11581303156324155,49.281
80,0.1142976226890118,49.8585
81,0.10977124800056468,50.453
82,0.11834479408494693,51.0375
83,0.11263984030485674,51.6265
84,0.11738560738311213,52.2105
85,0.11249085649694132,52.7945
86,0.11371255078218287,53.3585
