,R,Rtiming
0,0.14531437277654738,0.707875
1,0.1528202766360282,1.333375
2,0.13900181261763855,1.9245
3,0.1377415400041006,2.51525
4,0.13584732048883252,3.108125
5,0.15397341365578457,3.73825
6,0.1516543862723646,4.397125
7,0.15377931448423532,5.087375
8,0.1397451325629966,5.777875
9,0.12842587924039775,6.4245
10,0.158158611345663,7.062375
11,0.17313941255243087,7.672125
12,0.18178944678973655,8.296
13,0.18591825554956704,8.96775
14,0.17419913085351654,9.664875
15,0.1706314272021155,10.358875
16,0.1432339678115115,10.98175
17,0.1604549037274423,11.59625
18,0.1667480540863286,12.19225
19,0.141831395514237,12.764375
20,0.1765437196618413,13.34025
21,0.16713319939149118,13.90925
22,0.18532049046839966,14.5345
23,0.15655970435026853,15.3125
24,0.18492022638179723,16.053625
25,0.19203600175378915,16.775
26,0.17528638471822455,17.482625
27,0.1543625718031745,18.173375
28,0.18428314044697386,18.84625
29,0.17152099281339236,19.47075
30,0.16683668362880497,20.08875
31,0.14805507055960637,20.68075
32,0.16820940108064877,21.27175
33,0.17794763350303872,21.85125
34,0.16850753978877672,22.4415
35,0.15375115025548058,23.02625
36,0.16048090814507454,23.6135
37,0.16526239490661762,24.214125
38,0.17827531384402134,24.826
39,0.15137319703139884,25.469125
40,0.1464674543361138,26.0825
41,0.17009483594711705,26.69475
42,0.1623961404059033,27.300875
43,0.1515274638056733,27.903375
44,0.14157722414906837,28.484
45,0.17567082224831787,29.061375
46,0.15361942800447786,29.619625
47,0.1544921451086123,30.172375
48,0.1288889311074179,30.712
49,0.15492433392405897,31.26975
50,0.15606874631795833,31.823
51,0.1450697421643113,32.413
52,0.14252638345370616,33.004875
53,0.15020883524258538,33.6285
54,0.16834869071998126,34.25425
55,0.1563102357493042,34.92225
56,0.1379222683856268,35.55175
57,0.16870094491851412,36.2005
58,0.15724184772619937,36.8175
59,0.15723521242534402,37.422625
60,0.1322616358938095,38.006875
61,0.15677562006176388,38.59025
62,0.16802797290532223,39.1645
63,0.16724068669925407,39.736875
64,0.12942608118672494,40.297875
65,0.15087259823572124,40.862875
66,0.16357676981744806,41.437
67,0.1561010330578195,42.0285
68,0.16038151365156927,42.654875
69,0.13509665054039116,43.285125
70,0.15071615254071763,43.91725
71,0.16559970098253463,44.527875
72,0.1428497293675272,45.12475
73,0.13058684454142963,45.6965
74,0.1562577672719088,46.26825
75,0.1615000329215718,46.831875
76,0.1722976846309452,47.393875
77,0.12838447775999035,47.94825
78,0.14888068987170913,48.50225
79,0.16922564382613403,49.07025
80,0.17361346003661665,49.644875
81,0.1572501175956979,50.2405
82,0.13857508629066354,50.823125
83,0.162635727632566,51.414625
84,0.17536571739749168,51.997125
85,0.1497521564807548,52.5815
86,0.1439533342060601,53.147125
87,0.1556583692724618,53.7125
88,0.17041323788184098,54.270375
89,0.167108653547558,54.827
90,0.13419282995371262,55.375375
91,0.14989910537207696,55.921125
92,0.16374304496841935,56.47125
93,0.1721773440583686,57.02075
94,0.1537881293881428,57.582375
95,0.13771455858307258,58.144125
96,0.15966017868372698,58.735125
97,0.16503500995447884,59.3415
98,0.16411236242391153,59.9535
99,0.1631066280731202,60.561375
100,0.1720329936290046,61.171
101,0.13615087221191552,61.768
102,0.15862898816263835,62.363125
103,0.16990113120857572,62.962375
104,0.15730642857361904,63.56075
105,0.14065158925095073,64.1495
106,0.17918137502248876,64.75125
107,0.1673161662311112,65.35825
108,0.1703129730310897,65.9795
109,0.13577498829531617,66.599625
110,0.16769854998948436,67.22275
111,0.16816938418532104,67.839125
112,0.166547802772751,68.463875
113,0.13103848902872567,69.062
114,0.1654830288845532,69.657875
115,0.17637768643894502,70.26425
116,0.18164390681853276,70.888125
117,0.1447621540398819,71.500875
118,0.1574580931817611,72.12275
119,0.17595558835883618,72.747875
120,0.17449503450014325,73.391875
121,0.14177604482340597,74.016375
122,0.1576898863121004,74.627875
123,0.16871729158870302,75.233875
124,0.17873058886580492,75.830625
125,0.14718503518890347,76.417625
126,0.15401656046553916,76.998375
127,0.1581192098629437,77.59175
128,0.12759125721521714,78.1675
129,0.12223476937282873,78.761875
130,0.1664136828820042,79.43825
131,0.1773639723524253,80.139875
132,0.1765060375313318,80.8375
133,0.14735770112018706,81.537625
134,0.1530213637240205,82.19725
135,0.17408501192084855,82.85225
136,0.15030193725849686,83.498375
137,0.1384147840142942,84.13325
138,0.16235090555205786,84.773125
139,0.16833205135840418,85.401125
140,0.1304181894766166,86.006
141,0.15483680168802194,86.60625
142,0.1660526631324158,87.207
143,0.17017074573244478,87.807875
144,0.152217901231796,88.417375
145,0.14281205015238785,89.020125
146,0.16176825292690164,89.64225
147,0.17907108760074306,90.24675
148,0.14761449122521958,90.880625
149,0.15464167359152606,91.517
150,0.1838853927711004,92.198125
151,0.16739898421821797,92.899125
152,0.1386553588005524,93.579375
153,0.1591393243363691,94.2365
154,0.1749685987599308,94.8785
155,0.15362325467197208,95.503375
156,0.1362809649242762,96.11325
157,0.16543296159471915,96.728125
158,0.16070210339776533,97.335625
159,0.16231249783972607,97.954125
160,0.1362740020632358,98.561875
161,0.16253134606967146,99.1815
162,0.169186170532685,99.810875
163,0.16041711185763546,100.4645
164,0.14359810440130621,101.09625
165,0.172986259629536,101.765125
166,0.18368723239779833,102.409125
167,0.14821869709463073,103.05325
168,0.1485906351363127,103.67575
169,0.16104220716975115,104.30375
170,0.16471175058553916,104.92725
171,0.13455558831327685,105.551
172,0.15691486931272458,106.171125
173,0.1684263106205689,106.7825
174,0.16478754264746026,107.39925
175,0.138519477533888,108.0135
176,0.15626128389724808,108.629875
177,0.17359382766672937,109.261125
178,0.1641747023624921,109.920375
179,0.14732345830764454,110.577
180,0.15607154328792883,111.212875
181,0.17897214752987803,111.841375
182,0.15780948751834795,112.4645
183,0.13940559456002963,113.069875
184,0.15647027252749474,113.665
185,0.17970554099664987,114.255375
186,0.16558088592026032,114.84325
187,0.15039584296821878,115.44425
188,0.15426298548486622,116.05525
189,0.18542629925845422,116.69425
190,0.17227255895658267,117.3545
191,0.14877321932221138,118.0295
192,0.1646171780679675,118.72025
193,0.18179256778154507,119.402875
194,0.15598411055411174,120.074125
195,0.14450326364987953,120.70775
196,0.1718627304637355,121.339875
197,0.17384017199372961,121.95375
198,0.15922253969853228,122.566125
199,0.14553106276898553,123.155375
200,0.15694313866638704,123.74325
201,0.16980265079739695,124.327
202,0.18147101141557148,124.926
