biTiming
0.0125
0.1
0.1775
0.2525
0.3275
0.4025
0.4775
0.5625
0.6475
0.7325
0.815
0.895
0.9725
1.05
1.13
1.22
1.305
1.385
1.4625
1.5375
1.61
1.68
1.75
1.8275
1.9225
2.0175
2.1075
2.195
2.2825
2.3675
2.445
2.5225
2.5975
2.67
2.7425
2.8175
2.8925
2.9625
3.0375
3.115
3.195
3.2725
3.3475
3.4225
3.5
3.5725
3.6425
3.715
3.7825
3.8525
3.92
3.99
4.065
4.1375
4.215
4.2925
4.375
4.455
4.535
4.6125
4.69
4.7625
4.835
4.9075
4.9775
5.05
5.12
5.19
5.2625
5.3425
5.42
5.5
5.5775
5.6525
5.725
5.795
5.865
5.935
6.0075
6.075
6.1425
6.215
6.29
6.365
6.4375
6.51
6.5825
6.655
6.725
6.795
6.8625
6.935
7.0025
7.07
7.1375
7.2075
7.28
7.3525
7.4275
7.505
7.58
7.6575
7.7325
7.805
7.88
7.955
8.03
8.105
8.18
8.2575
8.335
8.4125
8.49
8.5675
8.645
8.7175
8.7925
8.87
8.9475
9.025
9.105
9.1825
9.2625
9.3375
9.415
9.49
9.5625
9.635
9.7075
9.7825
9.8575
9.94
10.0275
10.115
10.2025
10.285
10.3575
10.4475
10.5275
10.605
10.685
10.7625
10.8375
10.9125
10.9875
11.0625
11.1375
11.215
11.29
11.37
11.45
11.535
11.6225
11.7075
11.79
11.87
11.95
12.025
12.1
12.1775
12.255
12.3325
12.4075
12.49
